📺央视频道,#genre#
来宾综合,http://zb.gxlbamc.com:1935/live/lbzh.stream/playlist.m3u8
☘️海南频道,#genre#
海南卫视,http://219.135.171.213:7788/947472502
三沙卫视,http://219.135.171.213:7788/961023778
☘️北京频道,#genre#
☘️天津频道,#genre#
天津卫视,http://112.27.235.94:8000/hls/42/index.m3u8
☘️河北频道,#genre#
河北,https://event.pull.hebtv.com:443/live/live101.m3u8
邢台综合,https://jwplay.hebyun.com.cn:443/live/xtsrmtzs/1500k/tzwj_video.m3u8
滦平新闻,http://jwplay.hebyun.com.cn/live/LPTV001/1500k/tzwj_video.m3u8
☘️山西频道,#genre#
山西卫视,http://112.27.235.94:8000/hls/45/index.m3u8
长子综合,https://www.wxhcgbds.com:8081/channelTv/WXTV_1.m3u8?zshanxd
太谷新闻综合,https://p2.vzan.com/slowlive/596867413819827251/live.m3u8?zbid=1725814272&amp;amp;tpid=1516989100&amp;amp;type=0
万荣综合,http://60.222.246.220:19433/hls1.m3u8
☘️内蒙古频道,#genre#
内蒙古卫视,http://112.27.235.94:8000/hls/49/index.m3u8
☘️辽宁频道,#genre#
辽宁卫视,http://219.135.171.213:7788/630291707
☘️吉林频道,#genre#
吉林卫视,http://219.135.171.213:7788/947472500
长春综合 [Geo-blocked],https://stream2.jlntv.cn/jlcc/sd/live.m3u8
九台,http://stream10.jlntv.cn/jiutaitv/sd/live.m3u8?zjild
农安新闻综合 [Geo-blocked],https://stream2.jlntv.cn/naxw/sd/live.m3u8
德惠综合,http://stream11.jlntv.cn/dehuitv/sd/live.m3u8
吉林市新闻综合 [Geo-blocked],https://stream2.jlntv.cn/jilin1/sd/live.m3u8
舒兰新闻综合,http://stream8.jlntv.cn/shulan/sd/live.m3u8?_upt=332db6421699196585
磐石,http://stream5.jlntv.cn/ps/sd/live.m3u8?zjild
四平新闻综合 [Geo-blocked],https://stream2.jlntv.cn/sptv/sd/live.m3u8
双辽,http://stream5.jlntv.cn/sl/sd/live.m3u8?zjild
通化新闻 [Geo-blocked],https://stream2.jlntv.cn/tonghua1/sd/live.m3u8
通化县,http://stream5.jlntv.cn/thx/sd/live.m3u8?zjild
辉南新闻综合,http://stream5.jlntv.cn/hn/sd/live.m3u8
集安综合 [Geo-blocked],https://stream2.jlntv.cn/ja/sd/live.m3u8
白山新闻综合 [Geo-blocked],https://stream2.jlntv.cn/baishan1/sd/live.m3u8
白山公共,http://stream8.jlntv.cn/baishan2/playlist.m3u8?zjild
松原新闻综合 [Geo-blocked],https://stream2.jlntv.cn/sytv/sd/live.m3u8
前郭综合 [Geo-blocked],https://stream2.jlntv.cn/qg/sd/live.m3u8
延边2,http://stream5.jlntv.cn/wq/playlist.m3u8
敦化一套,http://stream8.jlntv.cn/dhtv/playlist.m3u8?zjild
珲春新闻,http://stream8.jlntv.cn/hctv/sd/live.m3u8?zjild
龙井,http://stream8.jlntv.cn/ljtv/sd/live.m3u8?zjild
汪清综合,http://stream5.jlntv.cn/wq/sd/live.m3u8
☘️黑龙江频道,#genre#
黑龙江卫视,http://219.135.171.213:7788/738906901
黑龙江新闻,https://ls.qingting.fm/live/4974/64k.m3u8
黑龙江少儿,https://ls.qingting.fm/live/4972/64k.m3u8
哈尔滨新闻综合,http://stream.hrbtv.net/xwzh/sd/live.m3u8?zheild
哈尔滨资讯,http://stream.hrbtv.net/zxpd/sd/live.m3u8
哈尔滨都市咨询,http://stream.hrbtv.net/zxpd/sd/live.m3u8?zheild
哈尔滨生活,http://stream.hrbtv.net/shpd/sd/live.m3u8?zheild
哈尔滨影视,http://stream.hrbtv.net/yspd/sd/live.m3u8?zheild
哈尔滨娱乐,http://stream.hrbtv.net/ylpd/sd/live.m3u8?zheild
甘南县综合,https://stream.hrbtv.net/zxpd/sd/live.m3u8
☘️河南频道,#genre#
河南卫视,http://219.135.171.213:7788/790187291
河南乡村,http://1.94.31.214/php/hntv.php?id=hnxc
☘️湖北频道,#genre#
湖北卫视,http://219.135.171.213:7788/947472496
☘️湖南频道,#genre#
湖南卫视,http://112.27.235.94:8000/hls/31/index.m3u8
🌊港澳台频道,#genre#
翡翠台,http://r.jdshipin.com/qrfbg
明珠台,http://r.jdshipin.com/ZQ4kN
台视新闻,http://38.64.72.148/hls/modn/list/4013/chunklist1.m3u8
台视新闻,http://38.64.72.148/hls/modn/list/4013/chunklist1.m3u8
三立戏剧,http://61.221.215.25:8800/hls/41/index.m3u8
TVBS新闻台,http://61.221.215.25:8800/hls/9/index.m3u8
TVBS-Asia,http://38.64.72.148/hls/modn/list/4005/playlist.m3u8
纬来精采,http://61.221.215.25:8800/hls/48/index.m3u8
人间卫视,http://61.216.67.119:1935/bltvhd/bltv1/chunklist_w1266569526.m3u

# ===== 以下为自动追加的频道 =====

🌊港·澳·台,#genre#
武汉一台新闻综合,https://ls.qingting.fm/live/20198/64k.m3u8
长白山电视台,http://stream8.jlntv.cn/cbstv/sd/live.m3u8?zjild
Bread TV面包台,https://video.bread-tv.com:8091/hls-live24/online/index.m3u8
绍兴电视台公共,http://live.shaoxing.com.cn/video/s10001-sxtv2/index.m3u8?%E5%85%B3%E6%B3%A8%E5%BE%AE%E4%BF%A1%E5%85%AC%E4%BC%97%E5%8F%B7[%E6%99%B4%E5%9B%AD]
